n_scenarios,n_projects,repetition,maxowa_time,minowa_regret_time
5,40,17,0.043061256408691406,0.10018110275268555
5,40,18,0.02347850799560547,0.08804154396057129
5,40,19,0.035990238189697266,0.08870339393615723
5,40,20,0.02449655532836914,0.0757901668548584
5,40,21,0.024753570556640625,0.07820796966552734
5,40,22,0.04100608825683594,0.10466933250427246
5,40,23,0.03827357292175293,0.0888512134552002
5,40,24,0.025662899017333984,0.07076549530029297
5,40,25,0.04886507987976074,0.09604835510253906
5,40,26,0.03350567817687988,0.08045721054077148
5,40,27,0.025942325592041016,0.08715629577636719
5,40,28,0.032415151596069336,0.12070059776306152
5,40,29,0.025369644165039062,0.09120440483093262
5,40,30,0.03310656547546387,0.09705519676208496
5,40,31,0.03953123092651367,0.1032724380493164
5,40,32,0.04052400588989258,0.10883855819702148
